"","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"Otu278",253,64,0,0,0,6.9,1.8,1.7
"Otu217",254,64,0,0,0,6.9,1.8,1.7
"Otu681",255,64,0,0,0,6.9,1.8,1.7
"Otu368",256,64,0,0,0,7,1.8,1.7
"Otu419",257,64,0,0,0,7,1.8,1.7
"Otu646",258,64,0,0,0,7,1.8,1.7
"Otu170",259,64,0,0,0,7,1.8,1.7
"Otu52",260,64,0,0,0,7.1,1.8,1.7
"Otu3479",261,64,0,0,0,7.1,1.8,1.8
"Otu735",262,64,0,0,0,7.1,1.8,1.8
"Otu252",263,64,0,0,0,7.1,1.8,1.8
"Otu151",264,64,0,0,0,7.2,1.8,1.8
"Otu384",265,64,0,0,0,7.2,1.8,1.8
"Otu150",266,64,0,0,0,7.2,1.8,1.8
"Otu1270",267,64,0,0,0,7.2,1.8,1.8
"Otu548",268,64,0,0,0,7.3,1.8,1.8
"Otu152",269,64,0,0,0,7.3,1.8,1.8
"Otu1265",270,64,0,0,0,7.3,1.8,1.8
"Otu640",271,64,0,0,0,7.4,1.8,1.8
"Otu85",272,64,0,0,0,7.4,1.8,1.8
"Otu3739",273,64,0,0,0,7.4,1.8,1.8
"Otu63",274,64,0,0,0,7.4,1.8,1.8
"Otu3961",275,64,0,0,0,7.5,1.8,1.8
"Otu79",276,64,0,0,0,7.5,1.8,1.9
"Otu103",277,64,0,0,0,7.5,1.8,1.9
"Otu391",278,64,0,0,0,7.5,1.8,1.9
"Otu1014",279,64,0,0,0,7.6,1.8,1.9
"Otu669",280,64,0,0,0,7.6,1.8,1.9
"Otu1458",281,64,0,0,0,7.6,1.8,1.9
"Otu9343",282,64,0,0,0,7.6,1.8,1.9
"Otu692",283,64,0,0,0,7.7,1.8,1.9
"Otu162",284,64,0,0,0,7.7,1.8,1.9
"Otu1720",285,64,0,0,0,7.7,1.8,1.9
"Otu332",286,64,0,0,0,7.7,1.8,1.9
"Otu571",287,64,0,0,0,7.8,1.8,1.9
"Otu68",288,64,0,0,0,7.8,1.8,1.9
"Otu359",289,63,0,0,0,7.8,1.8,1.9
"Otu17928",290,63,0,0,0,7.8,1.8,1.9
"Otu282",291,63,0,0,0,7.9,1.8,2
"Otu2121",292,63,0,0,0,7.9,1.8,2
"Otu236",293,63,0,0,0,7.9,1.8,2
"Otu401",294,63,0,0,0,7.9,1.8,2
"Otu363",295,63,0,0,0,8,1.8,2
"Otu82",296,63,0,0,0,8,1.8,2
"Otu511",297,63,0,0,0,8,1.8,2
"Otu1279",298,63,0,0,0,8,1.8,2
"Otu13005",299,63,0,0,0,8.1,1.8,2
"Otu506",300,63,0,0,0,8.1,1.8,2
"Otu414",301,63,0,0,0,8.1,1.8,2
"Otu193",302,63,0,0,0,8.2,1.8,2
"Otu559",303,63,0,0,0,8.2,1.8,2
"Otu462",304,63,0,0,0,8.2,1.8,2
"Otu313",305,63,0,0,0,8.2,1.8,2
"Otu547",306,63,0,0,0,8.3,1.8,2.1
"Otu633",307,63,0,0,0,8.3,1.8,2.1
"Otu1503",308,63,0,0,0,8.3,1.8,2.1
"Otu216",309,63,0,0,0,8.3,1.8,2.1
"Otu664",310,63,0,0,0,8.4,1.8,2.1
"Otu3915",311,63,0,0,0,8.4,1.8,2.1
