,id,taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu16447,Otu16447,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__,g__,s__
Otu11276,Otu11276,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__
Otu5840,Otu5840,k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__; g__; s__,k__Bacteria,p__WS3,c__PRR-12,o__Sediment-1,f__,g__,s__
Otu12827,Otu12827,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu16431,Otu16431,k__Bacteria; p__Proteobacteria; c__TA18; o__PHOS-HD29; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__TA18,o__PHOS-HD29,f__,g__,s__
Otu12706,Otu12706,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__,s__
Otu11997,Otu11997,k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__,k__Bacteria,p__OD1,c__ZB2,o__,f__,g__,s__
Otu12704,Otu12704,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bacteriovoracaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bacteriovoracaceae,g__,s__
Otu7436,Otu7436,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophaceae; g__Desulfomonile; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophaceae,g__Desulfomonile,s__
Otu13503,Otu13503,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu17286,Otu17286,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__,g__,s__
Otu11032,Otu11032,k__Bacteria; p__OD1; c__ABY1; o__; f__; g__; s__,k__Bacteria,p__OD1,c__ABY1,o__,f__,g__,s__
Otu8316,Otu8316,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__,g__,s__
Otu12037,Otu12037,k__Bacteria; p__Planctomycetes; c__C6; o__d113; f__; g__; s__,k__Bacteria,p__Planctomycetes,c__C6,o__d113,f__,g__,s__
Otu11213,Otu11213,k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__Parachlamydiaceae; g__Candidatus Protochlamydia; s__,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,g__CandidatusProtochlamydia,s__
Otu17007,Otu17007,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__MLE1-12; f__; g__; s__,k__Bacteria,p__Cyanobacteria,c__4C0d-2,o__MLE1-12,f__,g__,s__
Otu12733,Otu12733,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
Otu12769,Otu12769,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae; g__Asteroleplasma; s__,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Anaeroplasmatales,f__Anaeroplasmataceae,g__Asteroleplasma,s__
Otu8078,Otu8078,k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__; g__; s__,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__,g__,s__
Otu8202,Otu8202,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacterineae; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Cystobacterineae,g__,s__
Otu16385,Otu16385,k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__,k__Bacteria,p__OD1,c__ZB2,o__,f__,g__,s__
Otu16411,Otu16411,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
Otu11535,Otu11535,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu4818,Otu4818,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
Otu13582,Otu13582,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu11346,Otu11346,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__,g__,s__
Otu11795,Otu11795,k__Bacteria; p__TM7; c__TM7-1; o__; f__; g__; s__,k__Bacteria,p__TM7,c__TM7-1,o__,f__,g__,s__
Otu12940,Otu12940,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,NA,NA
Otu12922,Otu12922,k__Bacteria; p__OD1; c__ABY1; o__; f__; g__; s__,k__Bacteria,p__OD1,c__ABY1,o__,f__,g__,s__
Otu15108,Otu15108,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__,s__
Otu10646,Otu10646,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__,s__
Otu13118,Otu13118,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu9655,Otu9655,k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__CCM11a; f__; g__; s__,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__CCM11a,f__,g__,s__
Otu15973,Otu15973,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__,s__
Otu9630,Otu9630,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__; s__,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Cryomorphaceae,g__,s__
Otu12700,Otu12700,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacterineae; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Cystobacterineae,g__,s__
Otu16573,Otu16573,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__
Otu15975,Otu15975,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Anaplasmataceae,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,NA,NA
Otu9388,Otu9388,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__OM27; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__OM27,g__,s__
Otu9163,Otu9163,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Saprolegnia; s__ferax,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__mitochondria,g__Saprolegnia,s__ferax
Otu9239,Otu9239,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Pirellulales,f__Pirellulaceae,g__,s__
Otu12696,Otu12696,k__Bacteria; p__OP3; c__koll11; o__; f__; g__; s__,k__Bacteria,p__OP3,c__koll11,o__,f__,g__,s__
Otu15379,Otu15379,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__
Otu7571,Otu7571,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales],k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],NA,NA,NA
Otu8123,Otu8123,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
Otu5770,Otu5770,k__Bacteria; p__WS3; c__PRR-12; o__; f__; g__; s__,k__Bacteria,p__WS3,c__PRR-12,o__,f__,g__,s__
Otu15893,Otu15893,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__,g__,s__
Otu16278,Otu16278,k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__,k__Bacteria,p__OD1,c__ZB2,o__,f__,g__,s__
Otu6975,Otu6975,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__
Otu12877,Otu12877,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__,s__
Otu11323,Otu11323,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__RB40; g__; s__,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__RB40,g__,s__
Otu9898,Otu9898,k__Bacteria; p__Gemmatimonadetes; c__Gemm-2; o__; f__; g__; s__,k__Bacteria,p__Gemmatimonadetes,c__Gemm-2,o__,f__,g__,s__
Otu17017,Otu17017,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu16013,Otu16013,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__SM1D11; f__; g__; s__,k__Bacteria,p__Cyanobacteria,c__4C0d-2,o__SM1D11,f__,g__,s__
Otu4695,Otu4695,k__Bacteria; p__Chlorobi; c__BSV26; o__A89; f__; g__; s__,k__Bacteria,p__Chlorobi,c__BSV26,o__A89,f__,g__,s__
Otu13112,Otu13112,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu11306,Otu11306,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Isosphaeraceae,g__,s__
Otu11170,Otu11170,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacterineae; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Cystobacterineae,g__,s__
Otu7225,Otu7225,k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__; f__; g__; s__,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__,f__,g__,s__
Otu4070,Otu4070,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
Otu8569,Otu8569,k__Bacteria; p__OD1; c__; o__; f__; g__; s__,k__Bacteria,p__OD1,c__,o__,f__,g__,s__
Otu15818,Otu15818,k__Bacteria; p__Chlorobi; c__BSV26; o__PK329; f__; g__; s__,k__Bacteria,p__Chlorobi,c__BSV26,o__PK329,f__,g__,s__
Otu7800,Otu7800,k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__Herpetosiphonales; f__; g__; s__,k__Bacteria,p__Chloroflexi,c__Chloroflexi,o__Herpetosiphonales,f__,g__,s__
Otu8499,Otu8499,k__Bacteria; p__Armatimonadetes; c__[Fimbriimonadia]; o__[Fimbriimonadales]; f__; g__; s__,k__Bacteria,p__Armatimonadetes,c__[Fimbriimonadia],o__[Fimbriimonadales],f__,g__,s__
Otu11216,Otu11216,k__Bacteria; p__Verrucomicrobia; c__[Methylacidiphilae]; o__S-BQ2-57; f__; g__; s__,k__Bacteria,p__Verrucomicrobia,c__[Methylacidiphilae],o__S-BQ2-57,f__,g__,s__
Otu16233,Otu16233,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
Otu12679,Otu12679,k__Bacteria; p__OP3; c__koll11; o__; f__; g__; s__,k__Bacteria,p__OP3,c__koll11,o__,f__,g__,s__
Otu13161,Otu13161,k__Bacteria; p__TM6; c__SJA-4; o__; f__; g__; s__,k__Bacteria,p__TM6,c__SJA-4,o__,f__,g__,s__
Otu9569,Otu9569,k__Bacteria; p__Chloroflexi; c__SHA-26; o__; f__; g__; s__,k__Bacteria,p__Chloroflexi,c__SHA-26,o__,f__,g__,s__
Otu12699,Otu12699,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__
Otu16759,Otu16759,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacterineae; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Cystobacterineae,g__,s__
Otu10463,Otu10463,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__,s__
Otu8832,Otu8832,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__
Otu10905,Otu10905,k__Bacteria; p__TM6; c__SJA-4; o__; f__; g__; s__,k__Bacteria,p__TM6,c__SJA-4,o__,f__,g__,s__
Otu7628,Otu7628,k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__; g__; s__,k__Bacteria,p__WS3,c__PRR-12,o__Sediment-1,f__,g__,s__
Otu15143,Otu15143,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__C111; g__; s__,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__C111,g__,s__
Otu10572,Otu10572,k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__,k__Bacteria,p__OD1,c__ZB2,o__,f__,g__,s__
Otu12181,Otu12181,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__OM27; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__OM27,g__,s__
Otu9574,Otu9574,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__
Otu13066,Otu13066,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
Otu11875,Otu11875,k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__; g__; s__,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__,g__,s__
Otu9067,Otu9067,k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__0319-6A21; g__; s__,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__0319-6A21,g__,s__
Otu6849,Otu6849,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__OM27; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__OM27,g__,s__
Otu10451,Otu10451,k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__OR-59; s__,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__OR-59,s__
Otu15913,Otu15913,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacterineae; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Cystobacterineae,g__,s__
Otu10697,Otu10697,k__Bacteria; p__OD1; c__SM2F11; o__; f__; g__; s__,k__Bacteria,p__OD1,c__SM2F11,o__,f__,g__,s__
Otu9422,Otu9422,k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__0319-6A21; g__; s__,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__0319-6A21,g__,s__
Otu11235,Otu11235,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Spirobacillales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Spirobacillales,f__,g__,s__
Otu15129,Otu15129,k__Bacteria; p__Verrucomicrobia; c__[Methylacidiphilae]; o__S-BQ2-57; f__; g__; s__,k__Bacteria,p__Verrucomicrobia,c__[Methylacidiphilae],o__S-BQ2-57,f__,g__,s__
Otu12179,Otu12179,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,NA,NA
Otu8608,Otu8608,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__,s__
Otu12468,Otu12468,k__Bacteria; p__OD1; c__Mb-NB09; o__; f__; g__; s__,k__Bacteria,p__OD1,c__Mb-NB09,o__,f__,g__,s__
Otu14483,Otu14483,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Adhaeribacter; s__,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Adhaeribacter,s__
Otu6215,Otu6215,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__,g__,s__
Otu9938,Otu9938,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,NA,NA
Otu12687,Otu12687,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu17883,Otu17883,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__
Otu5844,Otu5844,k__Bacteria; p__ZB3; c__BS119; o__; f__; g__; s__,k__Bacteria,p__ZB3,c__BS119,o__,f__,g__,s__
Otu7387,Otu7387,k__Bacteria; p__Gemmatimonadetes; c__Gemm-3; o__; f__; g__; s__,k__Bacteria,p__Gemmatimonadetes,c__Gemm-3,o__,f__,g__,s__
Otu16872,Otu16872,k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__,k__Bacteria,p__Chloroflexi,c__Ellin6529,o__,f__,g__,s__
Otu9215,Otu9215,k__Bacteria; p__Acidobacteria; c__S035; o__; f__; g__; s__,k__Bacteria,p__Acidobacteria,c__S035,o__,f__,g__,s__
Otu12661,Otu12661,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__,g__,s__
Otu7979,Otu7979,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Spirobacillales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Spirobacillales,f__,g__,s__
Otu4904,Otu4904,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__
Otu15935,Otu15935,k__Bacteria; p__Gemmatimonadetes; c__Gemm-3; o__; f__; g__; s__,k__Bacteria,p__Gemmatimonadetes,c__Gemm-3,o__,f__,g__,s__
Otu6768,Otu6768,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
Otu13062,Otu13062,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__,g__,s__
Otu12776,Otu12776,k__Bacteria; p__OP3; c__koll11; o__; f__; g__; s__,k__Bacteria,p__OP3,c__koll11,o__,f__,g__,s__
Otu12803,Otu12803,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__B97; f__; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__B97,f__,g__,s__
Otu9538,Otu9538,k__Bacteria; p__Elusimicrobia; c__; o__; f__; g__; s__,k__Bacteria,p__Elusimicrobia,c__,o__,f__,g__,s__
Otu13883,Otu13883,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__,s__
Otu12160,Otu12160,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__,g__,s__
Otu14642,Otu14642,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Ellin5290; f__; g__; s__,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Ellin5290,f__,g__,s__
Otu13463,Otu13463,k__Bacteria; p__FBP; c__; o__; f__; g__; s__,k__Bacteria,p__FBP,c__,o__,f__,g__,s__
Otu9428,Otu9428,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__KD8-87; f__; g__; s__,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__KD8-87,f__,g__,s__
Otu13875,Otu13875,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__,g__,s__
Otu16002,Otu16002,k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__0319-7L14,f__,g__,s__
Otu11308,Otu11308,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae; g__Asteroleplasma; s__,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Anaeroplasmatales,f__Anaeroplasmataceae,g__Asteroleplasma,s__
Otu14419,Otu14419,k__Bacteria; p__TM6; c__SJA-4; o__; f__; g__; s__,k__Bacteria,p__TM6,c__SJA-4,o__,f__,g__,s__
Otu13879,Otu13879,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Spirobacillales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Spirobacillales,f__,g__,s__
Otu11247,Otu11247,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__; g__; s__,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__,g__,s__
Otu6863,Otu6863,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__,g__,s__
Otu18254,Otu18254,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__RB40; g__; s__,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__RB40,g__,s__
Otu5461,Otu5461,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__,g__,s__
Otu6205,Otu6205,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__GCA004; f__; g__; s__,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__GCA004,f__,g__,s__
Otu16237,Otu16237,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Spirobacillales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Spirobacillales,f__,g__,s__
Otu12308,Otu12308,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__211ds20; g__; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__211ds20,g__,s__
